Typ,Instanzindex,Anzahl_Items,Bin_Kapazitaet,LB,HC,Bins_beyond_LB,Hit_LB,Iteration,elapsed_time
uniform,14,500,150,201,203,2,0,7,0.4923467360003997
uniform,14,500,150,201,203,2,0,8,0.5639862890002405
uniform,14,500,150,201,203,2,0,9,0.6432606070002294
uniform,14,500,150,201,203,2,0,10,0.7128982439999163
uniform,14,500,150,201,203,2,0,11,0.7828165609998905
uniform,14,500,150,201,203,2,0,12,0.8530590210002629
uniform,14,500,150,201,203,2,0,13,0.9122328049998032
uniform,14,500,150,201,203,2,0,14,0.9711536419999902
uniform,14,500,150,201,203,2,0,15,1.0454141629998048
uniform,15,250,150,102,104,2,0,1,0.03786296199996286
uniform,15,250,150,102,104,2,0,2,0.07208137500037992
uniform,15,250,150,102,104,2,0,3,0.10003493900057947
uniform,15,250,150,102,104,2,0,4,0.1289068700007192
uniform,15,250,150,102,104,2,0,5,0.15406722800071293
uniform,15,250,150,102,104,2,0,6,0.18737754700032383
uniform,15,250,150,102,104,2,0,7,0.234118428000329
uniform,15,250,150,102,104,2,0,8,0.2597457910005687
uniform,15,250,150,102,104,2,0,9,0.28211306000048353
uniform,15,250,150,102,104,2,0,10,0.313197258999935
uniform,15,250,150,102,104,2,0,11,0.33351542800028255
uniform,15,250,150,102,104,2,0,12,0.3573093470004096
uniform,15,250,150,102,104,2,0,13,0.38430609199986066
uniform,15,250,150,102,104,2,0,14,0.4097609000000375
uniform,15,250,150,102,104,2,0,15,0.43533614900024986
uniform,15,250,150,102,104,2,0,16,0.4610349109998424
uniform,15,250,150,102,104,2,0,17,0.483587620000435
uniform,15,250,150,102,104,2,0,18,0.5056706660006967
uniform,15,250,150,102,104,2,0,19,0.5267396500003088
uniform,15,250,150,102,104,2,0,20,0.5520866010001555
uniform,15,250,150,102,104,2,0,21,0.5773296430006667
uniform,15,250,150,102,104,2,0,22,0.6048212290006632
uniform,15,250,150,102,104,2,0,23,0.6346278540004278
uniform,15,250,150,102,104,2,0,24,0.6653389749999405
uniform,15,250,150,102,104,2,0,25,0.6902025469998989
uniform,15,250,150,102,104,2,0,26,0.7165345270004764
uniform,15,250,150,102,104,2,0,27,0.7420724240000709
uniform,15,250,150,102,104,2,0,28,0.7650309489999927
uniform,15,250,150,102,104,2,0,29,0.7848632240002189
uniform,15,250,150,102,104,2,0,30,0.811044561000017
uniform,15,250,150,102,104,2,0,31,0.8334206019999328
uniform,15,250,150,102,104,2,0,32,0.8570891389999815
uniform,15,250,150,102,104,2,0,33,0.8795464800004993
uniform,15,250,150,102,104,2,0,34,0.8993277150002541
uniform,15,250,150,102,104,2,0,35,0.9184831760003362
uniform,15,250,150,102,104,2,0,36,0.9423953479999909
uniform,15,250,150,102,104,2,0,37,0.9628378860006706
uniform,15,250,150,102,104,2,0,38,0.982709237000563
uniform,15,250,150,102,104,2,0,39,1.002075903000332
uniform,16,120,150,49,50,1,0,1,0.008492095999827143
uniform,16,120,150,49,50,1,0,2,0.02279130700026144
uniform,16,120,150,49,50,1,0,3,0.03348830699997052
uniform,16,120,150,49,50,1,0,4,0.04669581300004211
uniform,16,120,150,49,50,1,0,5,0.06101335600033053
uniform,16,120,150,49,50,1,0,6,0.0719497890004277
uniform,16,120,150,49,50,1,0,7,0.08244415999979537
uniform,16,120,150,49,50,1,0,8,0.09209691700016265
uniform,16,120,150,49,50,1,0,9,0.1033595039998545
uniform,16,120,150,49,50,1,0,10,0.11361836900050548
uniform,16,120,150,49,50,1,0,11,0.12400858100045298
uniform,16,120,150,49,50,1,0,12,0.13510111400046299
uniform,16,120,150,49,50,1,0,13,0.14460081100060052
uniform,16,120,150,49,50,1,0,14,0.154116699000042
uniform,16,120,150,49,50,1,0,15,0.16479599000012968
uniform,16,120,150,49,50,1,0,16,0.17429368900047848
uniform,16,120,150,49,50,1,0,17,0.18295761100034724
uniform,16,120,150,49,50,1,0,18,0.19347534000007727
uniform,16,120,150,49,50,1,0,19,0.20280820800053334
uniform,16,120,150,49,50,1,0,20,0.21222969300015393
uniform,16,120,150,49,50,1,0,21,0.22352152399980696
uniform,16,120,150,49,50,1,0,22,0.23376542900041386
uniform,16,120,150,49,50,1,0,23,0.24267794899969886
uniform,16,120,150,49,50,1,0,24,0.25170259100013936
uniform,16,120,150,49,50,1,0,25,0.26032984999983455
uniform,16,120,150,49,50,1,0,26,0.2697913689999041
uniform,16,120,150,49,50,1,0,27,0.27819926099982695
uniform,16,120,150,49,50,1,0,28,0.2869472729998961
uniform,16,120,150,49,50,1,0,29,0.29546896500050934
uniform,16,120,150,49,50,1,0,30,0.30439852200015594
uniform,16,120,150,49,50,1,0,31,0.31278669600033027
uniform,16,120,150,49,50,1,0,32,0.3223312400004943
uniform,16,120,150,49,50,1,0,33,0.33290479200059053
uniform,16,120,150,49,50,1,0,34,0.3436462970003049
uniform,16,120,150,49,50,1,0,35,0.35460198400051013
uniform,16,120,150,49,50,1,0,36,0.3664453940000385
uniform,16,120,150,49,50,1,0,37,0.37701569399996515
uniform,16,120,150,49,50,1,0,38,0.3873576519999915
uniform,16,120,150,49,50,1,0,39,0.39672037699983775
uniform,16,120,150,49,50,1,0,40,0.4052533300000505
uniform,16,120,150,49,50,1,0,41,0.4160240760002125
uniform,16,120,150,49,50,1,0,42,0.42718267000054766
uniform,16,120,150,49,50,1,0,43,0.4370598539999264
uniform,16,120,150,49,50,1,0,44,0.44551467900055286
uniform,16,120,150,49,50,1,0,45,0.4567858549999073
uniform,16,120,150,49,50,1,0,46,0.46680117699997936
uniform,16,120,150,49,50,1,0,47,0.4805751000003511
uniform,16,120,150,49,50,1,0,48,0.4935511020003105
uniform,16,120,150,49,49,0,1,49,0.5035794169998553
uniform,17,500,150,202,204,2,0,1,0.12104198399993038
uniform,17,500,150,202,204,2,0,2,0.19552173400006723
uniform,17,500,150,202,204,2,0,3,0.26074242499998945
uniform,17,500,150,202,204,2,0,4,0.32677484000032564
uniform,17,500,150,202,204,2,0,5,0.3888751759996012
uniform,17,500,150,202,204,2,0,6,0.44645256999956473
uniform,17,500,150,202,204,2,0,7,0.5155476990003081
uniform,17,500,150,202,204,2,0,8,0.5930630729999393
uniform,17,500,150,202,204,2,0,9,0.6529610549996505
uniform,17,500,150,202,204,2,0,10,0.7179562190003708
uniform,17,500,150,202,204,2,0,11,0.7857182939997074
uniform,17,500,150,202,203,1,0,12,0.8487558249998983
uniform,17,500,150,202,203,1,0,13,0.9228736989998652
